Mes,Escenario,Unidades Vendidas (bolsas),Ingresos (€),COGS (€),Margen Bruto (€),OPEX (€),EBITDA (€),Margen EBITDA (%)
1,Conservador,300,840.0,546.0,294.0,19210.0,-18916.0,-2251.9%
1,Base,500,1400.0,910.0,490.0,19210.0,-18720.0,-1337.14%
1,Agresivo,750,2100.0,1365.0,735.0,19210.0,-18475.0,-879.76%
2,Conservador,480,1344.0,873.6,470.4,19210.0,-18739.6,-1394.32%
2,Base,800,2240.0,1456.0,784.0,19210.0,-18426.0,-822.59%
2,Agresivo,1200,3360.0,2184.0,1176.0,19210.0,-18034.0,-536.73%
3,Conservador,720,2016.0,1310.4,705.6,19210.0,-18504.4,-917.88%
3,Base,1200,3360.0,2184.0,1176.0,19210.0,-18034.0,-536.73%
3,Agresivo,1800,5040.0,3276.0,1764.0,19210.0,-17446.0,-346.15%
4,Conservador,1080,3024.0,1965.6,1058.4,19210.0,-18151.6,-600.25%
4,Base,1800,5040.0,3276.0,1764.0,19210.0,-17446.0,-346.15%
4,Agresivo,2700,7560.0,4914.0,2646.0,19210.0,-16564.0,-219.1%
5,Conservador,1440,4032.0,2620.8,1411.2,19210.0,-17798.8,-441.44%
5,Base,2400,6720.0,4368.0,2352.0,19210.0,-16858.0,-250.86%
5,Agresivo,3600,10080.0,6552.0,3528.0,19210.0,-15682.0,-155.58%
6,Conservador,1800,5040.0,3276.0,1764.0,19210.0,-17446.0,-346.15%
6,Base,3000,8400.0,5460.0,2940.0,19210.0,-16270.0,-193.69%
6,Agresivo,4500,12600.0,8190.0,4410.0,19210.0,-14800.0,-117.46%
7,Conservador,2100,5880.0,3822.0,2058.0,19210.0,-17152.0,-291.7%
7,Base,3500,9800.0,6370.0,3430.0,19210.0,-15780.0,-161.02%
7,Agresivo,5250,14700.0,9555.0,5145.0,19210.0,-14065.0,-95.68%
8,Conservador,2400,6720.0,4368.0,2352.0,19210.0,-16858.0,-250.86%
8,Base,4000,11200.0,7280.0,3920.0,19210.0,-15290.0,-136.52%
8,Agresivo,6000,16800.0,10920.0,5880.0,19210.0,-13330.0,-79.35%
9,Conservador,2700,7560.0,4914.0,2646.0,19210.0,-16564.0,-219.1%
9,Base,4500,12600.0,8190.0,4410.0,19210.0,-14800.0,-117.46%
9,Agresivo,6750,18900.0,12285.0,6615.0,19210.0,-12595.0,-66.64%
10,Conservador,3000,8400.0,5460.0,2940.0,19210.0,-16270.0,-193.69%
10,Base,5000,14000.0,9100.0,4900.0,19210.0,-14310.0,-102.21%
10,Agresivo,7500,21000.0,13650.0,7350.0,19210.0,-11860.0,-56.48%
11,Conservador,3300,9240.0,6006.0,3234.0,19210.0,-15976.0,-172.9%
11,Base,5500,15400.0,10010.0,5390.0,19210.0,-13820.0,-89.74%
11,Agresivo,8250,23100.0,15015.0,8085.0,19210.0,-11125.0,-48.16%
12,Conservador,3600,10080.0,6552.0,3528.0,19210.0,-15682.0,-155.58%
12,Base,6000,16800.0,10920.0,5880.0,19210.0,-13330.0,-79.35%
12,Agresivo,9000,25200.0,16380.0,8820.0,19210.0,-10390.0,-41.23%
13,Conservador,3000,8400.0,4050.0,4350.0,42781.0,-38431.0,-457.51%
13,Base,5000,14000.0,6750.0,7250.0,42781.0,-35531.0,-253.79%
13,Agresivo,7500,21000.0,10125.0,10875.0,42781.0,-31906.0,-151.93%
14,Conservador,3600,10080.0,4860.0,5220.0,42781.0,-37561.0,-372.63%
14,Base,6000,16800.0,8100.0,8700.0,42781.0,-34081.0,-202.86%
14,Agresivo,9000,25200.0,12150.0,13050.0,42781.0,-29731.0,-117.98%
15,Conservador,4200,11760.0,5670.0,6090.0,42781.0,-36691.0,-312.0%
15,Base,7000,19600.0,9450.0,10150.0,42781.0,-32631.0,-166.48%
15,Agresivo,10500,29400.0,14175.0,15225.0,42781.0,-27556.0,-93.73%
16,Conservador,4800,13440.0,6480.0,6960.0,42781.0,-35821.0,-266.53%
16,Base,8000,22400.0,10800.0,11600.0,42781.0,-31181.0,-139.2%
16,Agresivo,12000,33600.0,16200.0,17400.0,42781.0,-25381.0,-75.54%
17,Conservador,5400,15120.0,7290.0,7830.0,42781.0,-34951.0,-231.16%
17,Base,9000,25200.0,12150.0,13050.0,42781.0,-29731.0,-117.98%
17,Agresivo,13500,37800.0,18225.0,19575.0,42781.0,-23206.0,-61.39%
18,Conservador,6000,16800.0,8100.0,8700.0,42781.0,-34081.0,-202.86%
18,Base,10000,28000.0,13500.0,14500.0,42781.0,-28281.0,-101.0%
18,Agresivo,15000,42000.0,20250.0,21750.0,42781.0,-21031.0,-50.07%
19,Conservador,6600,18480.0,8910.0,9570.0,42781.0,-33211.0,-179.71%
19,Base,11000,30800.0,14850.0,15950.0,42781.0,-26831.0,-87.11%
19,Agresivo,16500,46200.0,22275.0,23925.0,42781.0,-18856.0,-40.81%
20,Conservador,7200,20160.0,9720.0,10440.0,42781.0,-32341.0,-160.42%
20,Base,12000,33600.0,16200.0,17400.0,42781.0,-25381.0,-75.54%
