Mes,Escenario,Cobros (€),Pagos Proveedores (€),OPEX Cash (€),CAPEX (€),Flujo Neto (€),Saldo Acumulado (€),Inventario Valorado (€),Cuentas por Cobrar (€),Working Capital Neto (€)
1,Conservador,0.0,546.0,19210.0,40000.0,-59756.0,260244.0,136.5,840.0,430.5
2,Conservador,420.0,873.6,19210.0,20000.0,-39663.6,220580.4,218.4,1344.0,688.8
3,Conservador,1092.0,1310.4,19210.0,19500.0,-38928.4,181652.0,327.6,2016.0,1033.2
4,Conservador,1680.0,1965.6,19210.0,0.0,-19495.6,162156.4,491.4,3024.0,1549.8
5,Conservador,2520.0,2620.8,19210.0,0.0,-19310.8,142845.6,655.2,4032.0,2066.4
6,Conservador,3528.0,3276.0,19210.0,0.0,-18958.0,123887.6,819.0,5040.0,2583.0
7,Conservador,4536.0,3822.0,19210.0,0.0,-18496.0,105391.6,955.5,5880.0,3013.5
8,Conservador,5460.0,4368.0,19210.0,0.0,-18118.0,87273.6,1092.0,6720.0,3444.0
9,Conservador,6300.0,4914.0,19210.0,0.0,-17824.0,69449.6,1228.5,7560.0,3874.5
10,Conservador,7140.0,5460.0,19210.0,0.0,-17530.0,51919.6,1365.0,8400.0,4305.0
11,Conservador,7980.0,6006.0,19210.0,0.0,-17236.0,34683.6,1501.5,9240.0,4735.5
12,Conservador,8820.0,6552.0,19210.0,60000.0,-76942.0,-42258.4,1638.0,10080.0,5166.0
13,Conservador,9660.0,4050.0,39148.0,80000.0,-113538.0,-155796.4,1012.5,8400.0,5362.5
14,Conservador,9240.0,4860.0,39148.0,60000.0,-94768.0,-250564.4,1215.0,10080.0,6435.0
15,Conservador,9240.0,5670.0,39148.0,40000.0,-75578.0,-326142.4,1417.5,11760.0,7507.5
16,Conservador,10920.0,6480.0,39148.0,0.0,-34708.0,-360850.4,1620.0,13440.0,8580.0
17,Conservador,12600.0,7290.0,39148.0,0.0,-33838.0,-394688.4,1822.5,15120.0,9652.5
18,Conservador,14280.0,8100.0,39148.0,0.0,-32968.0,-427656.4,2025.0,16800.0,10725.0
19,Conservador,15960.0,8910.0,39148.0,0.0,-32098.0,-459754.4,2227.5,18480.0,11797.5
20,Conservador,17640.0,9720.0,39148.0,0.0,-31228.0,-490982.4,2430.0,20160.0,12870.0
